date,region,item_code,item_name,value,transformation
2026-04-01,national,OTHER_INTEREST_NO_INFO,Other sectors | Interests (forecast) | no information,0.0,level
2026-01-01,national,OTHER_INTEREST_ON_DEMAND,Other sectors | Interests (forecast) | on demand,0.0,level
2026-04-01,national,OTHER_INTEREST_ON_DEMAND,Other sectors | Interests (forecast) | on demand,0.0,level
2026-01-01,national,OTHER_PRINCIPAL_AFTER_2Y,Other sectors | Principal (forecast) | after 2 years,25994.561826,level
2026-04-01,national,OTHER_PRINCIPAL_AFTER_2Y,Other sectors | Principal (forecast) | after 2 years,26208.84214,level
2026-01-01,national,OTHER_PRINCIPAL_M01_03,Other sectors | Principal (forecast) | within 1-3 months,3965.619453,level
2026-04-01,national,OTHER_PRINCIPAL_M01_03,Other sectors | Principal (forecast) | within 1-3 months,4269.399494,level
2026-01-01,national,OTHER_PRINCIPAL_M04_06,Other sectors | Principal (forecast) | within 4-6 months,4046.764137,level
2026-04-01,national,OTHER_PRINCIPAL_M04_06,Other sectors | Principal (forecast) | within 4-6 months,5189.010342,level
2026-01-01,national,OTHER_PRINCIPAL_M07_09,Other sectors | Principal (forecast) | within 7-9 months,4057.025952,level
2026-04-01,national,OTHER_PRINCIPAL_M07_09,Other sectors | Principal (forecast) | within 7-9 months,4272.309205,level
2026-01-01,national,OTHER_PRINCIPAL_M10_12,Other sectors | Principal (forecast) | within 10-12 months,4991.506272,level
2026-04-01,national,OTHER_PRINCIPAL_M10_12,Other sectors | Principal (forecast) | within 10-12 months,5157.053537,level
2026-01-01,national,OTHER_PRINCIPAL_M13_15,Other sectors | Principal (forecast) | within 13-15 months,619.385981,level
2026-04-01,national,OTHER_PRINCIPAL_M13_15,Other sectors | Principal (forecast) | within 13-15 months,731.405032,level
2026-01-01,national,OTHER_PRINCIPAL_M16_18,Other sectors | Principal (forecast) | within 16-18 months,1680.878518,level
2026-04-01,national,OTHER_PRINCIPAL_M16_18,Other sectors | Principal (forecast) | within 16-18 months,1701.321659,level
2026-01-01,national,OTHER_PRINCIPAL_M19_21,Other sectors | Principal (forecast) | within 19-21 months,1223.83628,level
2026-04-01,national,OTHER_PRINCIPAL_M19_21,Other sectors | Principal (forecast) | within 19-21 months,633.747208,level
2026-01-01,national,OTHER_PRINCIPAL_M22_24,Other sectors | Principal (forecast) | within 22-24 months,1033.797799,level
2026-04-01,national,OTHER_PRINCIPAL_M22_24,Other sectors | Principal (forecast) | within 22-24 months,843.691993,level
2026-01-01,national,OTHER_PRINCIPAL_NO_INFO,Other sectors | Principal (forecast) | no information,7415.542215,level
2026-04-01,national,OTHER_PRINCIPAL_NO_INFO,Other sectors | Principal (forecast) | no information,8280.736846,level
2026-01-01,national,OTHER_PRINCIPAL_ON_DEMAND,Other sectors | Principal (forecast) | on demand,33.928708,level
2026-04-01,national,OTHER_PRINCIPAL_ON_DEMAND,Other sectors | Principal (forecast) | on demand,36.924969,level
