scale,lambda,mu,log_ml,sample
3.000,0.750,5.000,-723.891,2016Q1
3.000,0.750,10.000,-722.084,2016Q1
3.000,0.750,25.000,-723.525,2016Q1
3.000,0.750,100.000,-727.730,2016Q1
3.000,1.000,0.500,-733.807,2016Q1
3.000,1.000,1.000,-732.606,2016Q1
3.000,1.000,2.000,-731.078,2016Q1
3.000,1.000,5.000,-728.121,2016Q1
3.000,1.000,10.000,-727.577,2016Q1
3.000,1.000,25.000,-731.108,2016Q1
3.000,1.000,100.000,-737.908,2016Q1
3.000,1.500,0.500,-740.001,2016Q1
3.000,1.500,1.000,-740.018,2016Q1
3.000,1.500,2.000,-739.972,2016Q1
3.000,1.500,5.000,-739.081,2016Q1
3.000,1.500,10.000,-740.254,2016Q1
3.000,1.500,25.000,-746.579,2016Q1
3.000,1.500,100.000,-757.457,2016Q1
5.000,0.050,0.500,-763.700,2016Q1
5.000,0.050,1.000,-762.770,2016Q1
5.000,0.050,2.000,-761.394,2016Q1
5.000,0.050,5.000,-759.290,2016Q1
5.000,0.050,10.000,-757.993,2016Q1
5.000,0.050,25.000,-757.175,2016Q1
5.000,0.050,100.000,-756.800,2016Q1
5.000,0.100,0.500,-759.665,2016Q1
5.000,0.100,1.000,-757.280,2016Q1
5.000,0.100,2.000,-754.442,2016Q1
5.000,0.100,5.000,-749.269,2016Q1
5.000,0.100,10.000,-745.817,2016Q1
5.000,0.100,25.000,-743.610,2016Q1
5.000,0.100,100.000,-742.477,2016Q1
5.000,0.150,0.500,-756.216,2016Q1
5.000,0.150,1.000,-752.404,2016Q1
5.000,0.150,2.000,-748.725,2016Q1
5.000,0.150,5.000,-742.012,2016Q1
5.000,0.150,10.000,-737.152,2016Q1
5.000,0.150,25.000,-733.746,2016Q1
5.000,0.150,100.000,-732.200,2016Q1
5.000,0.200,0.500,-752.945,2016Q1
5.000,0.200,1.000,-748.216,2016Q1
5.000,0.200,2.000,-743.953,2016Q1
5.000,0.200,5.000,-736.728,2016Q1
5.000,0.200,10.000,-731.346,2016Q1
5.000,0.200,25.000,-727.331,2016Q1
5.000,0.200,100.000,-725.714,2016Q1
5.000,0.300,0.500,-746.893,2016Q1
5.000,0.300,1.000,-741.634,2016Q1
5.000,0.300,2.000,-736.846,2016Q1
5.000,0.300,5.000,-729.597,2016Q1
5.000,0.300,10.000,-724.467,2016Q1
5.000,0.300,25.000,-720.684,2016Q1
5.000,0.300,100.000,-719.611,2016Q1
5.000,0.500,0.500,-738.342,2016Q1
5.000,0.500,1.000,-733.987,2016Q1
5.000,0.500,2.000,-729.689,2016Q1
5.000,0.500,5.000,-723.389,2016Q1
5.000,0.500,10.000,-719.787,2016Q1
5.000,0.500,25.000,-718.323,2016Q1
5.000,0.500,100.000,-719.510,2016Q1
5.000,0.750,0.500,-734.006,2016Q1
5.000,0.750,1.000,-731.139,2016Q1
5.000,0.750,2.000,-728.062,2016Q1
5.000,0.750,5.000,-723.389,2016Q1
5.000,0.750,10.000,-721.457,2016Q1
5.000,0.750,25.000,-722.778,2016Q1
5.000,0.750,100.000,-726.974,2016Q1
5.000,1.000,0.500,-733.971,2016Q1
5.000,1.000,1.000,-732.181,2016Q1
5.000,1.000,2.000,-730.143,2016Q1
5.000,1.000,5.000,-726.914,2016Q1
5.000,1.000,10.000,-726.242,2016Q1
5.000,1.000,25.000,-729.670,2016Q1
5.000,1.000,100.000,-736.484,2016Q1
5.000,1.500,0.500,-739.344,2016Q1
5.000,1.500,1.000,-738.736,2016Q1
5.000,1.500,2.000,-738.113,2016Q1
5.000,1.500,5.000,-736.897,2016Q1
5.000,1.500,10.000,-737.937,2016Q1
5.000,1.500,25.000,-744.183,2016Q1
5.000,1.500,100.000,-755.099,2016Q1
8.000,0.050,0.500,-768.628,2016Q1
8.000,0.050,1.000,-767.697,2016Q1
8.000,0.050,2.000,-766.320,2016Q1
8.000,0.050,5.000,-764.206,2016Q1
8.000,0.050,10.000,-762.898,2016Q1
8.000,0.050,25.000,-762.069,2016Q1
8.000,0.050,100.000,-761.690,2016Q1
8.000,0.100,0.500,-764.505,2016Q1
8.000,0.100,1.000,-762.103,2016Q1
8.000,0.100,2.000,-759.255,2016Q1
8.000,0.100,5.000,-754.064,2016Q1
8.000,0.100,10.000,-750.585,2016Q1
8.000,0.100,25.000,-748.343,2016Q1
8.000,0.100,100.000,-747.197,2016Q1
8.000,0.150,0.500,-760.987,2016Q1
8.000,0.150,1.000,-757.130,2016Q1
8.000,0.150,2.000,-753.429,2016Q1
8.000,0.150,5.000,-746.688,2016Q1
8.000,0.150,10.000,-741.793,2016Q1
8.000,0.150,25.000,-738.337,2016Q1
8.000,0.150,100.000,-736.772,2016Q1
8.000,0.200,0.500,-757.651,2016Q1
8.000,0.200,1.000,-752.848,2016Q1
8.000,0.200,2.000,-748.546,2016Q1
